id,mode,level,level_name,prompt,tags,intensity,relationship_context,is_hidden,is_adult
classic_l1_040,classic,1,Read the Room,What is something you would put in a museum of your life so far?,playful|low_stakes,1,all,false,false
classic_l1_041,classic,1,Read the Room,What is a childhood snack you would bring back immediately?,playful|low_stakes,1,all,false,false
classic_l1_042,classic,1,Read the Room,What is the most you-coded object you own?,playful|low_stakes,1,all,false,false
classic_l1_043,classic,1,Read the Room,What is a place where you feel unusually comfortable?,playful|low_stakes|comfort,1,all,false,false
classic_l1_044,classic,1,Read the Room,What is a place where you feel slightly out of character?,playful|low_stakes,1,all,false,false
classic_l1_045,classic,1,Read the Room,What is something you like that surprises people?,playful|low_stakes,1,all,false,false
classic_l1_046,classic,1,Read the Room,"What is something people assume you like, but you really do not?",playful|low_stakes,1,all,false,false
classic_l1_047,classic,1,Read the Room,What is a personality trait you admire instantly?,playful|low_stakes,1,all,false,false
classic_l1_048,classic,1,Read the Room,What is a skill everyone should learn at least a little bit?,playful|low_stakes,1,all,false,false
classic_l1_049,classic,1,Read the Room,What is your most reliable tell when you are having a good time?,playful|low_stakes,1,all,false,false
classic_l1_050,classic,1,Read the Room,What is your most reliable tell when you are ready to leave?,playful|low_stakes,1,all,false,false
classic_l1_051,classic,1,Read the Room,What is the best compliment someone can give your taste?,playful|low_stakes|compliments,1,all,false,false
classic_l1_052,classic,1,Read the Room,What is something that makes someone seem instantly fun?,playful|low_stakes,1,all,false,false
classic_l1_053,classic,1,Read the Room,What is something that makes someone seem instantly exhausting?,playful|low_stakes,1,all,false,false
classic_l1_054,classic,1,Read the Room,What is a simple thing that makes you feel put together?,playful|low_stakes,1,all,false,false
classic_l1_055,classic,1,Read the Room,What is a tiny decision that can change your whole day?,playful|low_stakes|change,1,all,false,false
classic_l1_056,classic,1,Read the Room,What is the most unnecessary thing you care about deeply?,playful|low_stakes,1,all,false,false
classic_l1_057,classic,1,Read the Room,What is a harmless thing you are a snob about?,playful|low_stakes,1,all,false,false
classic_l1_058,classic,1,Read the Room,What is a very specific kind of weather you love?,playful|low_stakes|love,1,all,false,false
classic_l1_059,classic,1,Read the Room,What is a weirdly perfect time of day?,playful|low_stakes,1,all,false,false
classic_l1_060,classic,1,Read the Room,What is something that should be more socially acceptable?,playful|low_stakes,1,all,false,false
classic_l1_061,classic,1,Read the Room,What is something that should be less socially acceptable?,playful|low_stakes,1,all,false,false
classic_l1_062,classic,1,Read the Room,What is a harmless lie people tell themselves?,playful|low_stakes,1,all,false,false
classic_l1_063,classic,1,Read the Room,"What is a trend you understand, even if it is not for you?",playful|low_stakes,1,all,false,false
classic_l1_064,classic,1,Read the Room,What is a trend you cannot understand at all?,playful|low_stakes,1,all,false,false
classic_l1_065,classic,1,Read the Room,What is one thing your younger self would be impressed by?,playful|low_stakes,1,all,false,false
classic_l1_066,classic,1,Read the Room,What is one thing your younger self would find hilarious about you now?,playful|low_stakes,1,all,false,false
classic_l1_067,classic,1,Read the Room,What is a rule you had in your family that now seems funny?,playful|low_stakes|family,1,all,false,false
classic_l1_068,classic,1,Read the Room,What is a family habit you did not realize was unusual until later?,playful|low_stakes|family,1,all,false,false
classic_l1_069,classic,1,Read the Room,What is the most useful thing you learned by accident?,playful|low_stakes,1,all,false,false
classic_l1_070,classic,1,Read the Room,What is something you are better at in theory than in practice?,playful|low_stakes,1,all,false,false
classic_l1_071,classic,1,Read the Room,What is something you are better at in practice than in theory?,playful|low_stakes,1,all,false,false
classic_l1_072,classic,1,Read the Room,What is your most specific sign that you trust someone?,playful|low_stakes|trust,1,all,false,false
classic_l1_073,classic,1,Read the Room,What is something you notice about people’s communication style?,playful|low_stakes|communication|perception,1,all,false,false
classic_l1_074,classic,1,Read the Room,What is a question you like being asked?,playful|low_stakes,1,all,false,false
classic_l1_075,classic,1,Read the Room,What is a question you are tired of being asked?,playful|low_stakes,1,all,false,false
classic_l1_076,classic,1,Read the Room,What is a tiny thing that makes you feel seen?,playful|low_stakes,1,all,false,false
classic_l1_077,classic,1,Read the Room,What is something you have strong opinions about for no good reason?,playful|low_stakes,1,all,false,false
classic_l1_078,classic,1,Read the Room,What is the best kind of group chat energy?,playful|low_stakes,1,all,false,false
classic_l1_079,classic,1,Read the Room,What is the worst kind of group chat energy?,playful|low_stakes,1,all,false,false
classic_l1_080,classic,1,Read the Room,What is a hobby you respect but probably will not pick up?,playful|low_stakes,1,all,false,false
classic_l1_081,classic,1,Read the Room,What is a hobby you think more people should try?,playful|low_stakes,1,all,false,false
classic_l1_082,classic,1,Read the Room,What is something you own that has earned its place in your life?,playful|low_stakes,1,all,false,false
classic_l1_083,classic,1,Read the Room,What is something you bought that was absolutely worth it?,playful|low_stakes,1,all,false,false
classic_l1_084,classic,1,Read the Room,What is something you bought that was absolutely not worth it?,playful|low_stakes,1,all,false,false
classic_l1_085,classic,1,Read the Room,What is a place you think everyone should experience once?,playful|low_stakes,1,all,false,false
classic_l1_086,classic,1,Read the Room,What is the most memorable meal you have had recently?,playful|low_stakes,1,all,false,false
classic_l1_087,classic,1,Read the Room,What is the most memorable conversation you have had recently?,playful|low_stakes,1,all,false,false
classic_l1_088,classic,1,Read the Room,What is a tiny ritual you have before something important?,playful|low_stakes,1,all,false,false
classic_l1_089,classic,1,Read the Room,What is something you do when you need to reset?,playful|low_stakes,1,all,false,false
classic_l1_090,classic,1,Read the Room,What is the most underrated kind of confidence?,playful|low_stakes|confidence,1,all,false,false
classic_l1_091,classic,1,Read the Room,What is the most overrated kind of confidence?,playful|low_stakes|confidence,1,all,false,false
classic_l1_092,classic,1,Read the Room,What is something that makes someone feel safe to be around?,playful|low_stakes,1,all,false,false
classic_l1_093,classic,1,Read the Room,What is something that makes someone feel interesting to be around?,playful|low_stakes,1,all,false,false
classic_l1_094,classic,1,Read the Room,What is your most specific sign that a night is going well?,playful|low_stakes,1,all,false,false
classic_l1_095,classic,1,Read the Room,What is a memory you wish you had a photo of?,playful|low_stakes|memory,1,all,false,false
classic_l1_096,classic,1,Read the Room,What is a photo you wish had a better story behind it?,playful|low_stakes,1,all,false,false
classic_l1_097,classic,1,Read the Room,What is something you would happily become known for?,playful|low_stakes,1,all,false,false
classic_l1_098,classic,1,Read the Room,What is something you do not want to become known for?,playful|low_stakes,1,all,false,false
classic_l1_099,classic,1,Read the Room,What is a phrase your friends would associate with you?,playful|low_stakes|friendship,1,all,false,false
classic_l1_100,classic,1,Read the Room,"What is an outfit, object, or habit that feels like your brand?",playful|low_stakes,1,all,false,false
classic_l1_101,classic,1,Read the Room,What is something that makes you feel instantly nostalgic?,playful|low_stakes|nostalgia,1,all,false,false
classic_l1_102,classic,1,Read the Room,"What is something you always pack, even if you probably do not need it?",playful|low_stakes,1,all,false,false
classic_l1_103,classic,1,Read the Room,What is your most unreasonable travel preference?,playful|low_stakes,1,all,false,false
classic_l1_104,classic,1,Read the Room,What is a city or place that fits your personality surprisingly well?,playful|low_stakes,1,all,false,false
classic_l1_105,classic,1,Read the Room,What is a city or place that did not match your expectations?,playful|low_stakes,1,all,false,false
classic_l1_106,classic,1,Read the Room,What is a tiny thing someone did that stayed with you?,playful|low_stakes,1,all,false,false
classic_l1_107,classic,1,Read the Room,What is the best kind of surprise?,playful|low_stakes,1,all,false,false
classic_l1_108,classic,1,Read the Room,What is the worst kind of surprise?,playful|low_stakes,1,all,false,false
classic_l1_109,classic,1,Read the Room,What is something that is only fun with the right people?,playful|low_stakes,1,all,false,false
classic_l1_110,classic,1,Read the Room,What is something that is better alone?,playful|low_stakes,1,all,false,false
classic_l1_111,classic,1,Read the Room,What is something that is better with a group?,playful|low_stakes,1,all,false,false
classic_l1_112,classic,1,Read the Room,What is a low-stakes thing you take seriously?,playful|low_stakes,1,all,false,false
classic_l1_113,classic,1,Read the Room,What is a high-stakes thing you stay surprisingly calm about?,playful|low_stakes,1,all,false,false
classic_l1_114,classic,1,Read the Room,What is a small risk you think more people should take?,playful|low_stakes,1,all,false,false
classic_l1_115,classic,1,Read the Room,What is something you can learn about someone from how they handle a delay?,playful|low_stakes,1,all,false,false
classic_l1_116,classic,1,Read the Room,What is something you can learn about someone from how they treat waitstaff?,playful|low_stakes,1,all,false,false
classic_l1_117,classic,1,Read the Room,What is something you can learn about someone from how they make plans?,playful|low_stakes,1,all,false,false
classic_l1_118,classic,1,Read the Room,What is something you can learn about someone from how they apologize for being late?,playful|low_stakes|repair,1,all,false,false
classic_l1_119,classic,1,Read the Room,What is a small sign that someone has good taste?,playful|low_stakes,1,all,false,false
classic_l1_120,classic,1,Read the Room,What is a small sign that someone is emotionally generous?,playful|low_stakes,1,all,false,false
classic_l1_121,classic,1,Read the Room,What is the easiest way to make you laugh?,playful|low_stakes,1,all,false,false
classic_l1_122,classic,1,Read the Room,What is the easiest way to lose your interest?,playful|low_stakes,1,all,false,false
classic_l1_123,classic,1,Read the Room,What is something you like more when it is imperfect?,playful|low_stakes,1,all,false,false
classic_l1_124,classic,1,Read the Room,What is something you only enjoy when it is done perfectly?,playful|low_stakes,1,all,false,false
classic_l1_125,classic,1,Read the Room,What is a memory that feels like a scene from a movie?,playful|low_stakes|memory,1,all,false,false
classic_l1_126,classic,1,Read the Room,"What is a recent moment that made you think, this is nice?",playful|low_stakes,1,all,false,false
classic_l1_127,classic,1,Read the Room,What is a moment from this week worth remembering?,playful|low_stakes,1,all,false,false
classic_l1_128,classic,1,Read the Room,What is something you are trying to enjoy more slowly?,playful|low_stakes,1,all,false,false
classic_l1_129,classic,1,Read the Room,What is something you wish people would stop rushing?,playful|low_stakes,1,all,false,false
classic_l1_130,classic,1,Read the Room,What is a compliment you gave someone recently?,playful|low_stakes|compliments,1,all,false,false
classic_l1_131,classic,1,Read the Room,What is a compliment you should give more often?,playful|low_stakes|compliments,1,all,false,false
classic_l1_132,classic,1,Read the Room,What is something that makes a conversation feel alive?,playful|low_stakes,1,all,false,false
classic_l1_133,classic,1,Read the Room,What is something that makes a conversation die instantly?,playful|low_stakes,1,all,false,false
classic_l1_134,classic,1,Read the Room,What is your most specific definition of a great host?,playful|low_stakes,1,all,false,false
classic_l1_135,classic,1,Read the Room,What is your most specific definition of a great guest?,playful|low_stakes,1,all,false,false
classic_l1_136,classic,1,Read the Room,"What is a game, activity, or tradition that brings out your best side?",playful|low_stakes,1,all,false,false
classic_l1_137,classic,1,Read the Room,"What is a game, activity, or tradition that brings out your worst side?",playful|low_stakes,1,all,false,false
classic_l1_138,classic,1,Read the Room,What is the most underrated question to ask someone new?,playful|low_stakes,1,all,false,false
classic_l1_139,classic,1,Read the Room,What is a personal fun fact that does not sound like a resume bullet?,playful|low_stakes,1,all,false,false
classic_l1_140,classic,1,Read the Room,What is something you want to be lightly roasted for?,playful|low_stakes,1,all,false,false
classic_l1_141,classic,1,Read the Room,What is something you are not taking seriously enough?,playful|low_stakes,1,all,false,false
classic_l1_142,classic,1,Read the Room,What is something you are taking too seriously?,playful|low_stakes,1,all,false,false
classic_l1_143,classic,1,Read the Room,What is the clearest sign that someone is comfortable with themselves?,playful|low_stakes|comfort,1,all,false,false
classic_l1_144,classic,1,Read the Room,What is a tiny thing that makes you feel like an adult?,playful|low_stakes,1,all,false,false
classic_l1_145,classic,1,Read the Room,What is a tiny thing that makes you feel like a kid again?,playful|low_stakes,1,all,false,false
classic_l1_146,classic,1,Read the Room,What is a moment when you realized you had good instincts?,playful|low_stakes,1,all,false,false
classic_l1_147,classic,1,Read the Room,What is a moment when your instincts were hilariously wrong?,playful|low_stakes,1,all,false,false
classic_l1_148,classic,1,Read the Room,What is something you would put on your personal menu?,playful|low_stakes,1,all,false,false
classic_l1_149,classic,1,Read the Room,What is something you hope never goes out of style?,playful|low_stakes|hope,1,all,false,false
classic_l1_150,classic,1,Read the Room,What is something that has gotten better with age?,playful|low_stakes,1,all,false,false
classic_l2_001,classic,2,Beneath the Surface,What is a pattern in your life you are finally starting to understand?,self_awareness|personal|patterns,2,all,false,false
classic_l2_002,classic,2,Beneath the Surface,What is something you are ambitious about but rarely say out loud?,self_awareness|personal,2,all,false,false
classic_l2_003,classic,2,Beneath the Surface,What is a version of yourself you are trying to outgrow?,self_awareness|personal,2,all,false,false
classic_l2_004,classic,2,Beneath the Surface,What is a version of yourself you are trying to protect?,self_awareness|personal,2,all,false,false
classic_l2_005,classic,2,Beneath the Surface,What is something you learned about love from your family?,self_awareness|personal|family|love,2,all,false,false
classic_l2_006,classic,2,Beneath the Surface,What is something you learned about conflict from your family?,self_awareness|personal|family|conflict,2,all,false,false
classic_l2_007,classic,2,Beneath the Surface,What is something you learned about money from your family?,self_awareness|personal|family|money,2,all,false,false
classic_l2_008,classic,2,Beneath the Surface,What is something you learned about success before you were old enough to question it?,self_awareness|personal,2,all,false,false
classic_l2_009,classic,2,Beneath the Surface,What is a belief you inherited that you are now rethinking?,self_awareness|personal,2,all,false,false
classic_l2_010,classic,2,Beneath the Surface,What is a belief you earned the hard way?,self_awareness|personal,2,all,false,false
classic_l2_011,classic,2,Beneath the Surface,What is a strength that started as a coping mechanism?,self_awareness|personal,2,all,false,false
classic_l2_012,classic,2,Beneath the Surface,What is a weakness that people sometimes mistake for confidence?,self_awareness|personal|confidence,2,all,false,false
classic_l2_013,classic,2,Beneath the Surface,What is something you are better at hiding than most people realize?,self_awareness|personal,2,all,false,false
classic_l2_014,classic,2,Beneath the Surface,What is something you wish you were worse at noticing?,self_awareness|personal,2,all,false,false
classic_l2_015,classic,2,Beneath the Surface,What is a compliment that would mean a lot because it would be true?,self_awareness|personal|compliments,2,all,false,false
classic_l2_016,classic,2,Beneath the Surface,What is a criticism that stings because it might be true?,self_awareness|personal,2,all,false,false
classic_l2_017,classic,2,Beneath the Surface,What is something you are learning to ask for more directly?,self_awareness|personal,2,all,false,false
classic_l2_018,classic,2,Beneath the Surface,What is something you tend to give before anyone asks?,self_awareness|personal,2,all,false,false
classic_l2_019,classic,2,Beneath the Surface,What is a kind of attention you enjoy more than you admit?,self_awareness|personal,2,all,false,false
classic_l2_020,classic,2,Beneath the Surface,What is a kind of attention that makes you uncomfortable?,self_awareness|personal|comfort,2,all,false,false
classic_l2_021,classic,2,Beneath the Surface,What is something you are proud of that did not look impressive from the outside?,self_awareness|personal,2,all,false,false
classic_l2_022,classic,2,Beneath the Surface,What is something that looked impressive but did not feel satisfying?,self_awareness|personal,2,all,false,false
classic_l2_023,classic,2,Beneath the Surface,What is a decision that changed your standards?,self_awareness|personal|change,2,all,false,false
classic_l2_024,classic,2,Beneath the Surface,What is a moment that changed your taste in people?,self_awareness|personal|change,2,all,false,false
classic_l2_025,classic,2,Beneath the Surface,What is a friendship that taught you something about yourself?,self_awareness|personal|friendship,2,all,false,false
classic_l2_026,classic,2,Beneath the Surface,What is a friendship you miss but would not necessarily revive?,self_awareness|personal|friendship,2,all,false,false
classic_l2_027,classic,2,Beneath the Surface,What is a relationship pattern you do not want to repeat?,self_awareness|personal|relationships|patterns,2,all,false,false
classic_l2_028,classic,2,Beneath the Surface,What is a relationship pattern you are proud to have changed?,self_awareness|personal|relationships|change|patterns,2,all,false,false
classic_l2_029,classic,2,Beneath the Surface,What is something you tend to overexplain?,self_awareness|personal,2,all,false,false
classic_l2_030,classic,2,Beneath the Surface,What is something you tend to undercommunicate?,self_awareness|personal,2,all,false,false
classic_l2_031,classic,2,Beneath the Surface,What is a situation where you are more sensitive than people expect?,self_awareness|personal,2,all,false,false
classic_l2_032,classic,2,Beneath the Surface,What is a situation where you are tougher than people expect?,self_awareness|personal,2,all,false,false
classic_l2_033,classic,2,Beneath the Surface,What is something you need when you are stressed but rarely ask for?,self_awareness|personal|stress,2,all,false,false
classic_l2_034,classic,2,Beneath the Surface,What is something you do when you are stressed that other people might misread?,self_awareness|personal|stress,2,all,false,false
classic_l2_035,classic,2,Beneath the Surface,What is a fear that has gotten quieter with age?,self_awareness|personal|fear,2,all,false,false
classic_l2_036,classic,2,Beneath the Surface,What is a fear that has gotten louder with age?,self_awareness|personal|fear,2,all,false,false
classic_l2_037,classic,2,Beneath the Surface,What is a dream you are embarrassed by because you want it badly?,self_awareness|personal,2,all,false,false
classic_l2_038,classic,2,Beneath the Surface,What is a dream you let go of for a good reason?,self_awareness|personal,2,all,false,false
classic_l2_039,classic,2,Beneath the Surface,What is something you are still trying to forgive yourself for?,self_awareness|personal|forgiveness,2,all,false,false
classic_l2_040,classic,2,Beneath the Surface,What is something you handled better than your past self could have?,self_awareness|personal|past,2,all,false,false
classic_l2_041,classic,2,Beneath the Surface,What is something you wish people understood about your pace?,self_awareness|personal,2,all,false,false
classic_l2_042,classic,2,Beneath the Surface,What is something you wish people understood about your silence?,self_awareness|personal,2,all,false,false
classic_l2_043,classic,2,Beneath the Surface,What is something you wish people understood about your intensity?,self_awareness|personal,2,all,false,false
classic_l2_044,classic,2,Beneath the Surface,What is something you wish people understood about your humor?,self_awareness|personal,2,all,false,false
classic_l2_045,classic,2,Beneath the Surface,What is a tradeoff you are currently making that most people cannot see?,self_awareness|personal,2,all,false,false
classic_l2_046,classic,2,Beneath the Surface,What is a responsibility you carry quietly?,self_awareness|personal,2,all,false,false
classic_l2_047,classic,2,Beneath the Surface,What is a role you often play in groups?,self_awareness|personal,2,all,false,false
classic_l2_048,classic,2,Beneath the Surface,What is a role you are tired of playing in groups?,self_awareness|personal,2,all,false,false
classic_l2_049,classic,2,Beneath the Surface,What is a version of success that would actually fit your life?,self_awareness|personal,2,all,false,false
classic_l2_050,classic,2,Beneath the Surface,What is a version of success you are trying not to chase anymore?,self_awareness|personal,2,all,false,false
classic_l2_051,classic,2,Beneath the Surface,What is something you used to confuse with confidence?,self_awareness|personal|confidence,2,all,false,false
classic_l2_052,classic,2,Beneath the Surface,What is something you used to confuse with love?,self_awareness|personal|love,2,all,false,false
classic_l2_053,classic,2,Beneath the Surface,What is something you used to confuse with loyalty?,self_awareness|personal,2,all,false,false
classic_l2_054,classic,2,Beneath the Surface,What is something you used to confuse with peace?,self_awareness|personal,2,all,false,false
classic_l2_055,classic,2,Beneath the Surface,What is something that makes you feel chosen?,self_awareness|personal,2,all,false,false
classic_l2_056,classic,2,Beneath the Surface,What is something that makes you feel dismissed?,self_awareness|personal,2,all,false,false
classic_l2_057,classic,2,Beneath the Surface,What is something that makes you feel respected?,self_awareness|personal,2,all,false,false
classic_l2_058,classic,2,Beneath the Surface,What is something that makes you feel underestimated?,self_awareness|personal,2,all,false,false
classic_l2_059,classic,2,Beneath the Surface,What is a boundary you are getting better at naming?,self_awareness|personal|boundaries,2,all,false,false
classic_l2_060,classic,2,Beneath the Surface,What is a boundary you still struggle to enforce?,self_awareness|personal|boundaries,2,all,false,false
classic_l2_061,classic,2,Beneath the Surface,What is something you need more permission to want?,self_awareness|personal,2,all,false,false
classic_l2_062,classic,2,Beneath the Surface,What is something you need less permission to stop doing?,self_awareness|personal,2,all,false,false
classic_l2_063,classic,2,Beneath the Surface,What is a place where you feel most like yourself?,self_awareness|personal,2,all,false,false
classic_l2_064,classic,2,Beneath the Surface,What is a place where you feel least like yourself?,self_awareness|personal,2,all,false,false
classic_l2_065,classic,2,Beneath the Surface,What is a moment when you realized you had changed?,self_awareness|personal|change,2,all,false,false
classic_l2_066,classic,2,Beneath the Surface,What is a moment when you realized someone else had changed?,self_awareness|personal|change,2,all,false,false
classic_l2_067,classic,2,Beneath the Surface,What is something about adulthood that surprised you?,self_awareness|personal,2,all,false,false
classic_l2_068,classic,2,Beneath the Surface,What is something about adulthood you are still resisting?,self_awareness|personal,2,all,false,false
classic_l2_069,classic,2,Beneath the Surface,What is a lesson you keep relearning in different costumes?,self_awareness|personal,2,all,false,false
classic_l2_070,classic,2,Beneath the Surface,What is a mistake you would only make once?,self_awareness|personal,2,all,false,false
classic_l2_071,classic,2,Beneath the Surface,What is a mistake you have made more than once because it was comfortable?,self_awareness|personal|comfort,2,all,false,false
classic_l2_072,classic,2,Beneath the Surface,What is something you have high standards for because you know what low standards cost?,self_awareness|personal,2,all,false,false
classic_l2_073,classic,2,Beneath the Surface,What is something you are finally allowed to enjoy without proving anything?,self_awareness|personal,2,all,false,false
classic_l2_074,classic,2,Beneath the Surface,What is something you are still trying to prove?,self_awareness|personal,2,all,false,false
classic_l2_075,classic,2,Beneath the Surface,What is the kindest thing you have done that nobody saw?,self_awareness|personal,2,all,false,false
classic_l2_076,classic,2,Beneath the Surface,What is something generous you need to stop doing automatically?,self_awareness|personal,2,all,false,false
classic_l2_077,classic,2,Beneath the Surface,What is a kind of person you are learning not to chase?,self_awareness|personal,2,all,false,false
classic_l2_078,classic,2,Beneath the Surface,What is a kind of person you are learning to appreciate more?,self_awareness|personal,2,all,false,false
classic_l2_079,classic,2,Beneath the Surface,What is something you are drawn to that is not always good for you?,self_awareness|personal,2,all,false,false
classic_l2_080,classic,2,Beneath the Surface,What is something good for you that you are learning to be drawn to?,self_awareness|personal,2,all,false,false
classic_l2_081,classic,2,Beneath the Surface,What is a moment when your body knew before your mind did?,self_awareness|personal,2,all,false,false
classic_l2_082,classic,2,Beneath the Surface,What is a moment when your mind talked you out of something your body knew?,self_awareness|personal,2,all,false,false
classic_l2_083,classic,2,Beneath the Surface,What is a choice that made your life smaller for a while?,self_awareness|personal|choices,2,all,false,false
classic_l2_084,classic,2,Beneath the Surface,What is a choice that made your life bigger?,self_awareness|personal|choices,2,all,false,false
classic_l2_085,classic,2,Beneath the Surface,What is something you want your friends to hold you accountable for?,self_awareness|personal|friendship,2,all,false,false
classic_l2_086,classic,2,Beneath the Surface,What is something you do not want to be judged for while you are still figuring it out?,self_awareness|personal,2,all,false,false
classic_l2_087,classic,2,Beneath the Surface,What is something you are becoming less apologetic about?,self_awareness|personal|repair,2,all,false,false
classic_l2_088,classic,2,Beneath the Surface,What is something you are becoming more careful with?,self_awareness|personal,2,all,false,false
classic_l2_089,classic,2,Beneath the Surface,What is something that drains you faster than people realize?,self_awareness|personal,2,all,false,false
classic_l2_090,classic,2,Beneath the Surface,What is something that restores you faster than people realize?,self_awareness|personal,2,all,false,false
classic_l2_091,classic,2,Beneath the Surface,What is a kind of intimacy that has nothing to do with romance?,self_awareness|personal|intimacy,2,all,false,false
classic_l2_092,classic,2,Beneath the Surface,What is a kind of loneliness that can happen around people?,self_awareness|personal,2,all,false,false
classic_l2_093,classic,2,Beneath the Surface,What is something you wish you could explain to your younger self in one sentence?,self_awareness|personal,2,all,false,false
classic_l2_094,classic,2,Beneath the Surface,What is something your younger self understood that you are trying to remember?,self_awareness|personal,2,all,false,false
classic_l2_095,classic,2,Beneath the Surface,What is a place in your life where you are choosing depth over novelty?,self_awareness|personal,2,all,false,false
classic_l2_096,classic,2,Beneath the Surface,What is a place in your life where you need novelty again?,self_awareness|personal,2,all,false,false
classic_l2_097,classic,2,Beneath the Surface,What is a relationship you are grateful ended when it did?,self_awareness|personal|relationships|gratitude,2,all,false,false
classic_l2_098,classic,2,Beneath the Surface,What is a relationship you are grateful survived a hard season?,self_awareness|personal|relationships|gratitude,2,all,false,false
classic_l2_099,classic,2,Beneath the Surface,What is something you admire in others because you had to build it yourself?,self_awareness|personal,2,all,false,false
classic_l2_100,classic,2,Beneath the Surface,What is something you envy in others because it still feels far away?,self_awareness|personal,2,all,false,false
classic_l2_101,classic,2,Beneath the Surface,What is a compliment you are learning to believe?,self_awareness|personal|compliments,2,all,false,false
classic_l2_102,classic,2,Beneath the Surface,What is a criticism you are learning not to internalize?,self_awareness|personal,2,all,false,false
classic_l2_103,classic,2,Beneath the Surface,What is something you do when you are trying not to need anyone?,self_awareness|personal,2,all,false,false
